Species ID	Species fullname	Number of contigs	Total contig length	N50 length	N90 length	Max length	% G+C content	% CheckM completeness	% CheckM contamination	Quality score	Phylum	Class	Order	Family	Genus	Species
M001	Bacteroides stercorirosoris M001	244	5947724	47385	9319	202097	44.45	83.28	4.31	61.73	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercorirosoris
M002	Bifidobacterium breve M002	30	2107497	120577	37754	277477	58.65	98.62	0.58	95.72	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
M003	Faecalibacterium prausnitzii M003	66	2535264	60274	19364	198205	57.68	100	0	100	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
M004	Clostridium M004	26	1571264	135622	39778	303423	27.56	76.44	1.79	67.49	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M005	UBA1381 M005	108	2187707	37469	8231	89867	38.45	97.65	0.34	95.95	Firmicutes	Clostridia	Monoglobales	UBA1381	UBA1381_NA	NA
M006	Clostridium M006	57	2868056	81928	30426	161397	44.24	94.63	0	94.63	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Clostridium	NA
M007	Dorea longicatena M007	60	2574580	56514	25031	123253	41.86	99.42	0	99.42	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea longicatena
M008	Bacteroides congonensis M008	103	5824564	108730	29793	236302	42.96	75.34	1.72	66.74	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides congonensis
M009	Azospirillum M009	81	1795927	33055	9663	169992	44.88	97.85	0	97.85	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	NA
M00A	CAG-433 M00A	21	1079029	87388	26055	137867	27.63	92.42	0	92.42	Tenericutes	Mollicutes	Mycoplasmatales	CAG-433	CAG-433_NA	NA
M00B	Mailhella M00B	414	1737731	4508	2527	19807	63.09	70.13	1.48	62.73	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Mailhella	NA
M00C	Eubacterium M00C	15	1844560	251328	58269	396483	42.2	97.32	0	97.32	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_Eubacterium	NA
M00D	Collinsella M00D	299	1834676	7521	3035	28657	60.23	85.88	1.61	77.83	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M00E	Mycoplasma M00E	22	1185821	83320	38885	172910	27	91.57	1.69	83.12	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA
M00F	UMGS1810 M00F	256	1743347	8764	3306	28130	43.84	91.2	0	91.2	Firmicutes	Clostridia	Clostridiales	UMGS1810	UMGS1810_NA	NA
M010	Ruminococcaceae M010	297	1196368	4179	2392	16936	52.51	72.35	1.01	67.3	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_NA	NA
M011	Phascolarctobacterium M011	31	1758787	77467	24868	171727	46.43	98.2	0.6	95.2	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	NA
M012	Eubacterium M012	15	1785227	206027	55641	467693	41.41	97.32	0	97.32	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_Eubacterium	NA
M013	Oscillospiraceae M013	108	2248843	30981	10318	96111	56.4	90.91	0.17	90.06	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M014	Oscillospiraceae M014	40	2185202	91351	29187	180436	59.36	93.96	0.67	90.61	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M015	Erysipelatoclostridium M015	68	2187183	56784	15516	143686	30.03	99.06	0	99.06	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	NA
M016	CAG-302 M016	82	1159362	27918	6349	64728	27.22	92.13	0	92.13	Tenericutes	Mollicutes	Mycoplasmatales	CAG-302	CAG-302_NA	NA
M017	CAG-313 M017	55	1754601	53996	19385	127131	29.13	100	1.44	92.8	Tenericutes	Mollicutes	Acholeplasmatales	CAG-313	CAG-313_NA	NA
M018	Flavonifractor M018	65	2832791	79338	28085	196673	59.4	100	2.01	89.95	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	NA
M019	Oscillospiraceae M019	27	2090743	146717	34606	257097	61.2	93.29	0	93.29	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M01A	Blautia M01A	81	3836390	85850	24503	156526	43.01	98.1	0.32	96.5	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
M01B	Roseburia M01B	145	2690604	29078	8184	93836	41.85	86.55	4.03	66.4	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
